beam_deflection_mm,beam_height_mm
22.2742349798672,31.7837837837838
22.4091642812389,32
22.5437837486357,32.2162162162162
22.67809217287,32.4324324324324
22.8120883542837,32.6486486486486
22.9457711027477,32.8648648648649
23.079139237662,33.0810810810811
23.212191587956,33.2972972972973
23.3449269920882,33.5135135135135
23.4773442980465,33.7297297297297
23.6094423633477,33.9459459459459
23.7412200550379,34.1621621621622
23.8726762496926,34.3783783783784
24.0038098334162,34.5945945945946
24.1346197018426,34.8108108108108
24.2651047601346,35.027027027027
24.3952639229845,35.2432432432432
24.5250961146136,35.4594594594595
24.6546002687724,35.6756756756757
24.7837753287407,35.8918918918919
24.9126202473275,36.1081081081081
25.0411339868709,36.3243243243243
25.1693155192384,36.5405405405405
25.2971638258265,36.7567567567568
25.4246778975609,36.972972972973
25.5518567348967,37.1891891891892
25.678699347818,37.4054054054054
25.8052047558383,37.6216216216216
25.931371988,37.8378378378378
26.0572000828751,38.0540540540541
26.1826880885644,38.2702702702703
26.3078350626982,38.4864864864865
26.4326400724359,38.7027027027027
26.557102194466,38.9189189189189
26.6812205150065,39.1351351351351
26.8049941298042,39.3513513513514
26.9284221441354,39.5675675675676
27.0515036728055,39.7837837837838
27.1742378401491,40
27.29662378003,40.2162162162162
27.4186606358413,40.4324324324324
27.5403475605051,40.6486486486487
27.6616837164729,40.8648648648649
27.7826682757253,41.0810810810811
27.9033004197722,41.2972972972973
28.0235793396525,41.5135135135135
28.1435042359345,41.7297297297297
28.2630743187157,41.9459459459459
28.3822888076226,42.1621621621622
28.5011469318111,42.3783783783784
28.6196479299662,42.5945945945946
28.7377910503023,42.8108108108108
28.8555755505627,43.027027027027
28.9730006980201,43.2432432432432
29.0900657694763,43.4594594594595
29.2067700512624,43.6756756756757
29.3231128392387,43.8918918918919
29.4390934387946,44.1081081081081
29.5547111648488,44.3243243243243
29.6699653418491,44.5405405405405
29.7848553037726,44.7567567567568
29.8993803941256,44.972972972973
30.0135399659436,45.1891891891892
30.1273333817912,45.4054054054054
30.2407600137623,45.6216216216216
30.3538192434799,45.8378378378378
30.4665104620965,46.0540540540541
30.5788330702933,46.2702702702703
30.6907864782813,46.4864864864865
30.8023701058001,46.7027027027027
30.913583382119,46.9189189189189
31.0244257460362,47.1351351351351
31.1348966458792,47.3513513513513
31.2449955395047,47.5675675675676
31.3547218942986,47.7837837837838
31.4640751871761,48
31.5730549045813,48.2162162162162
31.681660542488,48.4324324324324
31.7898916063986,48.6486486486487
31.8977476113453,48.8648648648649
32.005228081889,49.0810810810811
32.1123325521201,49.2972972972973
32.2190605656582,49.5135135135135
32.3254116756519,49.7297297297297
32.4313854447792,49.945945945946
32.5369814452472,50.1621621621622
32.6421992587922,50.3783783783784
32.7470384766799,50.5945945945946
32.8514986997048,50.8108108108108
32.955579538191,51.027027027027
33.0592806119916,51.2432432432432
33.162601550489,51.4594594594595
33.2655419925946,51.6756756756757
33.3681015867493,51.8918918918919
33.470279990923,52.1081081081081
33.5720768726148,52.3243243243243
33.6734919088532,52.5405405405405
33.7745247861956,52.7567567567568
33.8751752007289,52.972972972973
33.975442858069,53.1891891891892
34.075327436241,53.4054054054054
34.1748279266495,53.6216216216216
34.273943753524,53.8378378378378
34.372674622372,54.0540540540541
34.4710202421621,54.2702702702703
34.5689803253243,54.4864864864865
34.6665545877502,54.7027027027027
34.7637427487926,54.9189189189189
34.8605445312657,55.1351351351351
34.9569596614452,55.3513513513514
35.052987869068,55.5675675675676
35.1486288873327,55.7837837837838
35.2438824528989,56
35.3387483058879,56.2162162162162
35.4332261898822,56.4324324324324
35.5273158519258,56.6486486486487
35.6210170425241,56.8648648648649
35.7143295156437,57.0810810810811
35.8072530287128,57.2972972972973
35.8997873426208,57.5135135135135
35.9919322217187,57.7297297297297
36.0836874338188,57.9459459459459
36.1750527501947,58.1621621621622
36.2660279455815,58.3783783783784
36.3566127981757,58.5945945945946
36.446807089635,58.8108108108108
36.5366106050786,59.027027027027
36.6260231330873,59.2432432432432
36.715044465703,59.4594594594595
36.803674398429,59.6756756756757
36.8919127302301,59.8918918918919
36.9797592635326,60.1081081081081
37.0672138042239,60.3243243243243
37.154276161653,60.5405405405405
37.2409461486301,60.7567567567568
37.3272235814271,60.972972972973
37.413108279777,61.1891891891892
37.4986000668743,61.4054054054054
37.5836987693748,61.6216216216216
37.6684042173959,61.8378378378378
37.7527162445162,62.0540540540541
37.8366346877756,62.2702702702703
37.9201593876757,62.4864864864865
38.0032901881792,62.7027027027027
38.0860269367104,62.9189189189189
38.1683694841548,63.1351351351351
38.2503176848593,63.3513513513513
38.3318713966325,63.5675675675676
38.4130304807439,63.7837837837838
38.4937948019248,64
38.5741642283677,64.2162162162162
38.6541386317265,64.4324324324324
38.7337178871164,64.6486486486487
38.8129018731142,64.8648648648649
38.891690471758,65.0810810810811
38.9700835685472,65.2972972972973
39.0480810524426,65.5135135135135
39.1256828158666,65.7297297297297
39.2028887547027,65.945945945946
39.2796987682959,66.1621621621622
39.3561127594526,66.3783783783784
39.4321306344407,66.5945945945946
39.5077523029893,66.8108108108108
39.582977678289,67.027027027027
39.6578066769917,67.2432432432433
39.7322392192108,67.4594594594595
39.8062752285209,67.6756756756757
39.8799146319583,67.8918918918919
39.9531573600204,68.1081081081081
40.0260033466661,68.3243243243243
40.0984525293157,68.5405405405405
40.1705048488508,68.7567567567568
40.2421602496146,68.972972972973
40.3134186794113,69.1891891891892
40.384280089507,69.4054054054054
40.4547444346288,69.6216216216216
40.5248116729652,69.8378378378378
40.5944817661663,70.0540540540541
40.6637546793435,70.2702702702703
40.7326303810696,70.4864864864865
40.8011088433786,70.7027027027027
40.8691900417662,70.9189189189189
40.9368739551892,71.1351351351351
41.0041605660661,71.3513513513514
41.0710498602764,71.5675675675676
41.1375418271613,71.7837837837838
41.2036364595233,72
41.2693337536262,72.2162162162162
41.3346337091953,72.4324324324324
41.3995363294173,72.6486486486486
41.4640416209401,72.8648648648649
41.5281495938732,73.0810810810811
41.5918602617874,73.2972972972973
41.6551736417149,73.5135135135135
41.7180897541493,73.7297297297297
41.7806086230456,73.945945945946
41.84273027582,74.1621621621622
41.9044547433504,74.3783783783784
41.965782059976,74.5945945945946
42.0267122634971,74.8108108108108
42.0872453581365,75.027027027027
42.1473809748353,75.2432432432432
42.2071190179556,75.4594594594595
42.2664595003736,75.6756756756757
42.3254024353315,75.8918918918919
42.3839478364376,76.1081081081081
42.4420957176663,76.3243243243243
42.4998460933579,76.5405405405405
42.5571989782188,76.7567567567568
42.6141543873214,76.972972972973
42.6707123361041,77.1891891891892
42.7268728403715,77.4054054054054
42.782635916294,77.6216216216216
42.8380015804083,77.8378378378378
42.8929698496169,78.0540540540541
42.9475407411884,78.2702702702703
43.0017142727575,78.4864864864865
43.055490462325,78.7027027027027
43.1088693282574,78.9189189189189
43.1618508892877,79.1351351351351
43.2144351645145,79.3513513513514
43.2666221734028,79.5675675675676
43.3184119357833,79.7837837837838
43.369804471853,80
43.4207998021748,80.2162162162162
43.4713979476777,80.4324324324324
43.5215989296567,80.6486486486486
43.5714027697728,80.8648648648649
43.6208094900532,81.0810810810811
43.6698191128908,81.2972972972973
43.7184316610448,81.5135135135135
43.7666471576405,81.7297297297297
43.8144656261689,81.945945945946
43.8618870904875,82.1621621621622
